,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2030-04-01,0.3008459977532577,0.2425806524503378,0.2748244876687867,0.11617689546748944,0.49939231648074817,0.44993051250797117,0.4097237087826973,0.16755279073668955,0.33944847230002695
2030-07-01,0.3244140284701223,0.26414310164558846,0.2945333640278402,0.1262793055253523,0.5287639988229011,0.4772603726553011,0.4364368148696704,0.1819884333688536,0.36591852925775414
2030-10-01,0.34865614925144994,0.28671748644795714,0.31488187428039427,0.1370960713413143,0.557118176327163,0.504158318016804,0.46305979437806943,0.19730820921338893,0.39286438718635314
2031-01-01,0.37342272426974826,0.3101996300641956,0.3357863704708369,0.14864906734249156,0.5842275816805541,0.5304149930898959,0.4893850289339478,0.21350542380809118,0.42007261936133605
2031-04-01,0.3985500157404431,0.3344630201172143,0.35715241630183153,0.16095582055018556,0.6099090901331978,0.5558413323693042,0.5152141261261212,0.23056258753983236,0.4473213065672178
2031-07-01,0.4238643214347233,0.35936080593567177,0.37887627778758215,0.17402863863028428,0.6340263833000963,0.5802734407631278,0.5403637226260034,0.24845054082974447,0.4743872092282996
2031-10-01,0.4491866879815525,0.3847288627751713,0.4008467996295066,0.18787372844077746,0.6564897135248026,0.6035759250867665,0.5646703400741352,0.26712782573067434,0.5010530302571873
2032-01-01,0.4743379343650327,0.4103898221287897,0.42294760219986594,0.2024903345686619,0.6772532176190834,0.6256436087987438,0.5879940461136488,0.28654036783466386,0.5271142717340718
2032-04-01,0.49914368897323935,0.4361578780920342,0.4450595107807176,0.2178699324564868,0.6963103852613105,0.6464017060936801,0.6102207914255896,0.3066215242645393,0.5523852355215682
2032-07-01,0.5234391421850483,0.46184410356752775,0.4670631112399605,0.2339955148096073,0.7136883390390848,0.6658046469482513,0.6312634134160733,0.32729253968048183,0.5767038142987793
2032-10-01,0.5470732450009799,0.4872619580467568,0.4888413166071489,0.25084101246865415,0.7294415475311138,0.6838338217596559,0.6510614030357831,0.3484634329655229,0.5999348490510773
2033-01-01,0.5699121383290148,0.5122326487609097,0.5102818281671266,0.268370891251133,0.7436454974471204,0.7004945505915,0.6695796121508779,0.3700343135653699,0.6219719712934751
2033-04-01,0.5918416693156162,0.5365900222773793,0.5312793828183521,0.286539963909091,0.7563907248991695,0.7158125819414601,0.6868061295198427,0.3918971000507861,0.6427379828979426
2033-07-01,0.6127689306507883,0.5601847117330133,0.5517376945987669,0.3052934509696319,0.7677774743139821,0.7298303977119941,0.7027495736927398,0.41393758662202546,0.662183936988425
2033-10-01,0.6326228360298602,0.5828873384379623,0.5715710206278471,0.32456731571150993,0.7779111340018441,0.7426035547351759,0.7174360451360176,0.436037778589566,0.6802871599673196
2034-01-01,0.6513538114387961,0.6045906547343551,0.5907053078118021,0.3442888870776908,0.7868984999613426,0.7541972384455492,0.7309059542012148,0.4580783979390146,0.6970484942894559
2034-04-01,0.668932731866811,0.6252106057066301,0.6090789038400304,0.3643777704656683,0.7948448476166196,0.76468314906177,0.7432109036402763,0.4799414471326231,0.7124890470304177
2034-07-01,0.6853492638192895,0.6446863695707176,0.6266428417337863,0.38474703094579926,0.8018517437815483,0.7741367905451417,0.7544107611682525,0.5015127148030928,0.7266467076031409
2034-10-01,0.7006097859313705,0.6629795020071931,0.643360729408724,0.4053046176842641,0.808015504519733,0.7826351909133112,0.7645710146931313,0.5226841114821905,0.7395726580493467
2035-01-01,0.7147350556588551,0.680072353696945,0.6592082929462976,0.4259549835153464,0.8134261939581579,0.7902550504699934,0.773760464188062,0.5433557364533643,0.7513280500451909
2035-04-01,0.7277577734004461,0.6959659519324812,0.6741726338242187,0.4466008410664456,0.8181670597673325,0.7970712919761971,0.7820492720257085,0.5634375967372659,0.7619809716502013
2035-07-01,0.739720170903932,0.7106775385630367,0.6882512662076263,0.4671449877949187,0.8223143088153722,0.8031559726308275,0.7895073687845097,0.5828509239004505,0.7716037794226297
2035-10-01,0.7506717225969635,0.7242379418871914,0.7014510010833238,0.48749212765121275,0.8259371381849419,0.8085775103956093,0.7962031939058782,0.6015290612253192,0.7802708312241441
2036-01-01,0.760667050006223,0.7366889345630332,0.7137867404464465,0.5075506173113773,0.8290979499507761,0.8134001750325972,0.8022027393176616,0.6194179201884014,0.7880566233758325
2036-04-01,0.7697640631917324,0.748080698255947,0.7252802380380433,0.5272340700004287,0.8318526912768337,0.8176837956794476,0.8075688581063978,0.6364760288867001,0.7950343129186215
2036-07-01,0.7780223606751719,0.7584694829643573,0.7359588744321046,0.5464627593391409,0.8342512735561166,0.8214836405590911,0.8123607982990112,0.6526742143244052,0.8012745907543294
2036-10-01,0.7855018913987738,0.7679155180540831,0.7458544846356301,0.5651647784538497,0.8363380349928115,0.8248504294735847,0.8166339226572594,0.6679949743217967,0.8068448630784706
2037-01-01,0.7922618688887226,0.7764812051311912,0.7550022666725251,0.5832769245651858,0.8381522200406418,0.8278304453034289,0.8204395781099667,0.6824316029381606,0.8118086952750526
2037-04-01,0.7983599186521337,0.7842296010793293,0.7634397905326159,0.60074529506388,0.8397284564875468,0.830465716296503,0.8238250822584555,0.6959871360273213,0.8162254728957427
2037-07-01,0.8038514342975,0.7912231831348385,0.7712061188226216,0.6175255963762102,0.8410972168531894,0.8327942461496762,0.8268337986940537,0.708673181639761,0.8201502372441744
2037-10-01,0.8087891152205983,0.7975228764437381,0.778341043700329,0.6335831805891489,0.8422852553350233,0.8348502735718727,0.8295052772414074,0.7205086944934928,0.8236336574233994
2038-01-01,0.8132226582293552,0.8031873174641607,0.7848844392878798,0.6488928360040226,0.8433160150093274,0.836664547085724,0.8318754394100725,0.7315187457987383,0.8267221057180882
2038-04-01,0.8171985765479428,0.808272323015574,0.7908757247053347,0.6634383660145203,0.8442100025671323,0.8382646042628396,0.8339767931341743,0.7417333304349745,0.8294578083320343
2038-07-01,0.8207601216995111,0.8128305338843262,0.7963534300204452,0.6772119957968205,0.8449851297230617,0.8396750474267274,0.8358386642233793,0.7511862437926999,0.8318790484292997
2038-10-01,0.8239472863871454,0.8169112028964954,0.801354855607341,0.6902136483916972,0.8456570217345506,0.8409178101542261,0.8374874348132557,0.7599140512537297,0.8340204029212244
2039-01-01,0.8267968693495922,0.8205600996035957,0.8059158144590656,0.7024501312153233,0.8462392943404521,0.8420124107292974,0.8389467815024051,0.7679551648211063,0.8359129983948721
